Timestamp,Age?,Gender: ,Educational Background?,Occupation?,Please select your location based on your  District: ,Select  CHIEFDOM for BOMBALI  DISTRICT.,Select CHIEFDOM  for TONKOLILI DISTRICT.,Do you have access to the internet in your area? ,How often do you experience internet connectivity issues? ,"On average, how many hours per day do you use the internet? ",What types of internet-connected devices do you use?  (You may choose more than one) ,Which mobile network provider do you use? ,How satisfied are you with the internet/mobile services provided by your current network? ,What factors influence your choice of mobile network provider? (You may choose more than one) ,What are the main challenges you face in accessing the internet in rural areas? (You may choose more than one) ,Are there specific locations where internet connectivity is particularly poor? (You may choose more than one) ,How do internet connectivity issues affect your daily life or work? (You may choose more than one) ,What improvements would you like to see in terms of internet connectivity and mobile services in your area? (You may choose more than one) ,Are there specific services or applications you are unable to access due to connectivity issues? (You may choose more than one) ,How important is reliable internet access for economic development and community empowerment in rural areas? ,"Are you aware of the advancements in mobile network technology such as 4G, 5G, or 6G? ",Have you experienced any differences in internet speed or quality when using these advanced technologies? ,Do you believe the implementation of 4G/5G/6G could address connectivity challenges in rural areas? ,Have there been any initiatives or projects in your community aimed at improving internet connectivity? ,How involved are local authorities or community leaders in addressing connectivity issues? ,"Do you believe collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity? ",What are your expectations for the future of internet connectivity and mobile services in rural Sierra Leone? (You may choose more than one) ,How do you envision technology shaping rural development and connectivity in the coming years? (You may choose more than one) ,Academia:,Industry:,Government:,Do you have any suggestions for improving internet connectivity and mobile services in rural areas?,"Any additional comments or feedback regarding rural connectivity in Sierra Leone?
Please Specify ",,
2024/04/16 10:58:13 PM GMT+8,40 - 49,Male,Tertiary,Engineer,Tonkolili,,TANE,Yes,Constantly (Daily),More than 8 hours,Smartphone;Laptop;Desktop computer,Orange,Satisfied,Coverage and Signal Strength;Compatibility with Device;Family or Friends' Recommendations,Lack of Infrastructure;High Costs;Power Supply Issues;Limited Choice of Service Providers,"Home;Public Spaces (e.g., parks, libraries, bus stations);Remote Rural Areas","Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Inability to complete online tasks;Difficulty in conducting business transactions or online sales",Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;Expansion of Infrastructure to Reach Remote Areas;Introduction of Community Wi-Fi Hotspots;Reduction of Data Caps or Usage Restrictions,"Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Government Services Portals",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","No, I have not noticed any differences in internet speed or quality when using advanced technologies.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by non-profit organizations or community groups.","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.","I believe collaboration could be helpful, but it may not be essential for enhancing rural connectivity.","Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Enhanced digital literacy programs to empower rural residents;Support for local businesses and entrepreneurship through improved connectivity",Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Introduction of smart grid systems to improve energy efficiency and reliability,Conduct research to identify innovative solutions for improving rural connectivity.,Develop affordable and tailored internet and mobile service plans for rural communities.,Allocate funding for the expansion of digital infrastructure in rural areas.,no,no,,
2024/04/16 11:01:57 PM GMT+8,20 - 29,Male,Secondary,,Tonkolili,,YONI MABANTA,Yes,Constantly (Daily),More than 8 hours,Smartphone;Laptop;Modem,Africell,Neutral,Customer Service and Support;Compatibility with Device;Family or Friends' Recommendations,High Costs;Power Supply Issues,"Public Spaces (e.g., parks, libraries, bus stations);Community Centers;Marketplaces;Remote Rural Areas","Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Limited access to educational resources or online learning;Difficulty in conducting business transactions or online sales","Better Coverage and Signal Strength;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Government Services Portals",Extremely Important,"No, I am not aware of any advancements in mobile network technology.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by private sector entities (e.g., telecommunications companies).","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.","Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture)","Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Development of e-commerce platforms to facilitate economic growth and entrepreneurship",Collaborate with industry and government to pilot and evaluate new technologies and initiatives.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Allocate funding for the expansion of digital infrastructure in rural areas.,,,,
2024/04/16 11:02:17 PM GMT+8,20 - 29,Male,Tertiary,STUDENT,Tonkolili,,KONIKE BARINA,Yes,Frequently (Once a week or more),2-4 hours,Smartphone;Laptop;Desktop computer;Smart TV,Africell,Satisfied,Price and Affordability;Data Speed and Quality;Customer Service and Support,Lack of Infrastructure;High Costs;Power Supply Issues,Home;Workplace;School/University;Community Centers,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency",Increased Reliability and Stability of Internet Connections;Faster Data Speeds,"Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba)",Very Important,"I am aware of 4G and 5G, but not 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.","Yes, there have been initiatives or projects led by non-profit organizations or community groups.",Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"I believe collaboration could be helpful, but it may not be essential for enhancing rural connectivity.","Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity",Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship,Conduct research to identify innovative solutions for improving rural connectivity.,Develop affordable and tailored internet and mobile service plans for rural communities.,Allocate funding for the expansion of digital infrastructure in rural areas.,,,,
2024/04/16 11:04:46 PM GMT+8,30 - 39,Male,Tertiary,,Bombali,BOMBALI SHEBORA,,Yes,Occasionally (2-3 times a month),Less than 1 hour,Smartphone,Orange,Dissatisfied,Coverage and Signal Strength;Price and Affordability,Lack of Infrastructure;High Costs,Workplace;Marketplaces;Healthcare Facilities,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls)",Better Coverage and Signal Strength;Expansion of Infrastructure to Reach Remote Areas,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video)",Very Important,"Yes, I am aware of 4G, 5G, and 6G.",I am not sure.,"Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by private sector entities (e.g., telecommunications companies).","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.",,Expansion of internet coverage to currently underserved rural areas;Introduction of affordable internet plans tailored for rural communities,"Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Develop and implement training programs to enhance digital literacy skills in rural communities.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,Government should implement training programs in the rural areas concerning internet connectivity and mobile services.,No,,
2024/04/16 11:09:59 PM GMT+8,40 - 49,Male,Tertiary,,Tonkolili,,KONIKE FULAWUSU,Yes,Frequently (Once a week or more),4-6 hours,Smartphone,Orange,Neutral,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality;Customer Service and Support,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs;Power Supply Issues;Limited Choice of Service Providers,Home;Community Centers;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Limited access to educational resources or online learning","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;Introduction of New Technologies (e.g., 5G/6G)","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Educational Platforms and E-learning Resources",Very Important,"I am aware of 4G and 5G, but not 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.",I am not sure.,Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"I believe collaboration could be helpful, but it may not be essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity",Conduct research to identify innovative solutions for improving rural connectivity.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,,,,
2024/04/16 11:11:22 PM GMT+8,20 - 29,Female,Secondary,Student,Bombali,GBANTI,,Yes,Constantly (Daily),4-6 hours,Smartphone;Tablet,Orange,Satisfied,Price and Affordability;Data Speed and Quality;Availability of Promotions or Discounts,High Costs;Power Supply Issues,School/University;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Inability to complete online tasks",Better Coverage and Signal Strength;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Introduction of Community Wi-Fi Hotspots,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Educational Platforms and E-learning Resources",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by private sector entities (e.g., telecommunications companies).",I am not sure.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services",Conduct research to identify innovative solutions for improving rural connectivity.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,,,,
2024/04/16 11:11:49 PM GMT+8,20 - 29,Female,Primary,Gardner ,Tonkolili,,KAFE,Yes,Constantly (Daily),6-8 hours,Smartphone,Africell,Dissatisfied,Price and Affordability,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs;Power Supply Issues,Workplace;Community Centers;Marketplaces;Healthcare Facilities;Places of Worship,Impact on productivity or work efficiency;Inability to complete online tasks;Difficulty in conducting business transactions or online sales,Increased Reliability and Stability of Internet Connections;Improved Customer Service and Support;Introduction of Community Wi-Fi Hotspots,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Online Banking and Payment Services",Very Important,"I have heard of mobile network advancements, but I am not sure about the specifics.","No, I have not noticed any differences in internet speed or quality when using advanced technologies.","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.","No, there have not been any initiatives or projects aimed at improving internet connectivity in my community.",I am not sure.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Improvement in internet speed and reliability;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture)","Expansion of digital infrastructure to connect remote rural areas;Enhancement of telecommunication networks to provide faster and more reliable internet access;Introduction of smart grid systems to improve energy efficiency and reliability;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Develop and implement training programs to enhance digital literacy skills in rural communities.,Develop affordable and tailored internet and mobile service plans for rural communities.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,The efforts of government and other NGOs is required,,,
2024/04/16 11:16:47 PM GMT+8,30 - 39,Female,Secondary,Trader ,Tonkolili,,KONIKE SANDA,Yes,Frequently (Once a week or more),4-6 hours,Smartphone,Orange,Neutral,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality;Customer Service and Support;Network Reputation and Reliability,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs;Limited Choice of Service Providers,Home;Marketplaces,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls)",Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram)",Very Important,"I have heard of mobile network advancements, but I am not sure about the specifics.","No, I have not noticed any differences in internet speed or quality when using advanced technologies.",I am not sure.,"No, there have not been any initiatives or projects aimed at improving internet connectivity in my community.",Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,I am not sure.,"Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G)",Expansion of digital infrastructure to connect remote rural areas,Conduct research to identify innovative solutions for improving rural connectivity.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,,,,
2024/04/16 11:21:28 PM GMT+8,30 - 39,Male,Secondary,Trader,Bombali,KAMARANKA,,Yes,Constantly (Daily),More than 8 hours,Smartphone,Africell,Satisfied,Price and Affordability;Customer Service and Support;Network Reputation and Reliability,Lack of Infrastructure;High Costs;Power Supply Issues;Limited Choice of Service Providers,School/University;Places of Worship;Remote Rural Areas,"Disruption to communication (e.g., email, messaging, video calls);Inability to complete online tasks;Difficulty in conducting business transactions or online sales","Better Coverage and Signal Strength;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs","Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Online Banking and Payment Services",Extremely Important,"I am aware of 4G, but not 5G or 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by private sector entities (e.g., telecommunications companies).",Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"I believe collaboration could be helpful, but it may not be essential for enhancing rural connectivity.","Improvement in internet speed and reliability;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Enhanced digital literacy programs to empower rural residents;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture)","Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Introduction of smart grid systems to improve energy efficiency and reliability",Develop and implement training programs to enhance digital literacy skills in rural communities.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Allocate funding for the expansion of digital infrastructure in rural areas.,Build internet infrastructure,Improve coverage and quality,,
2024/04/16 11:23:15 PM GMT+8,20 - 29,Male,Tertiary,,Tonkolili,,KONIKE BARINA,,Frequently (Once a week or more),4-6 hours,Smartphone,Orange,Neutral,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality;Customer Service and Support,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs,Home,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls)",Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram)",Very Important,"I have heard of mobile network advancements, but I am not sure about the specifics.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.",I am not sure.,Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G)",Expansion of digital infrastructure to connect remote rural areas;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities,Conduct research to identify innovative solutions for improving rural connectivity.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Allocate funding for the expansion of digital infrastructure in rural areas.,,,,
2024/04/16 11:27:02 PM GMT+8,40 - 49,Female,Tertiary,Teacher,Tonkolili,,MAYOSSOH MAMUNTHA,Yes,Constantly (Daily),2-4 hours,Smartphone;Laptop,Africell,Satisfied,Price and Affordability;Availability of Promotions or Discounts;Family or Friends' Recommendations,Limited or Unreliable Connectivity;High Costs;Power Supply Issues;Limited Choice of Service Providers,Workplace;School/University;Marketplaces;Remote Rural Areas,"Disruption to communication (e.g., email, messaging, video calls);Inability to complete online tasks;Limited access to educational resources or online learning",Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Introduction of Community Wi-Fi Hotspots;Reduction of Data Caps or Usage Restrictions,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Educational Platforms and E-learning Resources",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.","Yes, there have been initiatives or projects led by private sector entities (e.g., telecommunications companies).",Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"I believe collaboration could be helpful, but it may not be essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Conduct research to identify innovative solutions for improving rural connectivity.,Develop affordable and tailored internet and mobile service plans for rural communities.,Allocate funding for the expansion of digital infrastructure in rural areas.,,,,
2024/04/16 11:30:10 PM GMT+8,20 - 29,Female,Secondary,Driver,Bombali,NGOWAHUN,,Yes,Frequently (Once a week or more),More than 8 hours,Smartphone;Laptop,Africell,Neutral,Coverage and Signal Strength;Price and Affordability;Customer Service and Support;Network Reputation and Reliability,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs,School/University;Community Centers;Marketplaces,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Limited access to educational resources or online learning","Increased Reliability and Stability of Internet Connections;More Affordable Internet Plans;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Reduction of Data Caps or Usage Restrictions","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Educational Platforms and E-learning Resources",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by private sector entities (e.g., telecommunications companies).",Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture)","Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Conduct research to identify innovative solutions for improving rural connectivity.,Develop affordable and tailored internet and mobile service plans for rural communities.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,,,,
2024/04/16 11:33:08 PM GMT+8,20 - 29,Male,Tertiary,Driver,Bombali,PAKI MASSABONG,,Yes,Frequently (Once a week or more),1-2 hours,Smartphone,QCell,Neutral,Coverage and Signal Strength;Price and Affordability,Limited or Unreliable Connectivity;High Costs;Power Supply Issues,"Workplace;School/University;Public Spaces (e.g., parks, libraries, bus stations)",Impact on productivity or work efficiency;Inability to complete online tasks,Better Coverage and Signal Strength;Faster Data Speeds;More Affordable Internet Plans,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);E-commerce Websites (e.g., Amazon, eBay, Alibaba)",Extremely Important,"I am aware of 4G, but not 5G or 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been government-led initiatives or projects.",Very involved - Local authorities and community leaders are actively engaged and taking significant steps to address connectivity issues.,,"Improvement in internet speed and reliability;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G)",Expansion of digital infrastructure to connect remote rural areas;Enhancement of telecommunication networks to provide faster and more reliable internet access,Conduct research to identify innovative solutions for improving rural connectivity.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Implement programs to promote digital literacy and skills training in rural communities.,Improving internet speed and reliability. ,No,,
2024/04/16 11:37:37 PM GMT+8,30 - 39,Male,Tertiary,Teacher,Bombali,SAFROKO LIMBA,,Yes,Frequently (Once a week or more),4-6 hours,Smartphone,Orange,Neutral,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs,Home;School/University;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency",Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Support for Local Businesses and Entrepreneurs,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox)",Very Important,"I am aware of 4G and 5G, but not 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been government-led initiatives or projects.",Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G)","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Development of e-commerce platforms to facilitate economic growth and entrepreneurship",Conduct research to identify innovative solutions for improving rural connectivity.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,,,,
